Address,Lat,Long,Description,Link
167-175 Errol Street NORTH MELBOURNE VIC 3051,-37.800714,144.94983,Partial demolition and alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182193
9 Canning Street NORTH MELBOURNE VIC 3051,-37.796821,144.945893,Demolition of existing front fences and construction of front fences,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182216
13 Canning Street NORTH MELBOURNE VIC 3051,-37.796813,144.94578,Demolition of existing front fences and construction of front fences,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182216
11 Canning Street NORTH MELBOURNE VIC 3051,-37.796818,144.945837,Demolition of existing front fences and construction of front fences,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182216
46 Villiers Street NORTH MELBOURNE VIC 3051,-37.799545,144.953459,11 lot Residential Subdivision with common property,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=182163
2-4 Provost Street NORTH MELBOURNE VIC 3051,-37.801894,144.947851,Subdivision into 4 lots in accordance with the town planning permit.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181911
32 Curran Street NORTH MELBOURNE VIC 3051,-37.792018,144.943566,"Part demolition, construction of a three-storey dwelling, alterations to the existing dwelling (by way of roof works, removal of the existing front verandah and fencing), construct a replacement front verandah and fencing, and subdivision of the land into two lots",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181540
35 Little Curran Street NORTH MELBOURNE VIC 3051,-37.7917898,144.943601,"Part demolition, construction of a three-storey dwelling, alterations to the existing dwelling (by way of roof works, removal of the existing front verandah and fencing), construct a replacement front verandah and fencing, and subdivision of the land into two lots",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181540
1-3 Boundary Road NORTH MELBOURNE VIC 3051,-37.7952634,144.9388938,Erection of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181550
68-70 Elm Street NORTH MELBOURNE VIC 3051,-37.803389,144.946002,Subdivision of land into two lots in accordance with PS711064J - Boundary Re-alignment,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181517
10 Elm Place NORTH MELBOURNE VIC 3051,-37.8035754,144.9459613,Subdivision of land into two lots in accordance with PS711064J - Boundary Re-alignment,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181517
35 Elm Street NORTH MELBOURNE VIC 3051,-37.803949,144.945947,Alterations and additions (including a first floor) to the existing garage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181427
33-39 Racecourse Road NORTH MELBOURNE VIC 3051,-37.789719,144.940738,"The demolition of the existing building, and construction of buildings and works in the form of a multi-level mixed use building, use of the land for food and drink premises and dwellings, reduction to the standard car parking requirement, waiver of the loading bay requirement and alteration to an existing access to a road in a RDZ1, generally in accordance with the endorsed plans.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181437
83 Courtney Street NORTH MELBOURNE VIC 3051,-37.8001278,144.9511858,To change front door colour from Brunswick green to brown wood stain finish,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181302
133 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.803397,144.943097,"Partial demoltion, alterations and first floor addition at the rear of exisitng building, construction of a second two storey dwelling and construction of a crossover to Stawell Street.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181305
153 Flemington Road NORTH MELBOURNE VIC 3051,-37.795971,144.949671,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181206
51-53 Curzon Street NORTH MELBOURNE VIC 3051,-37.803372,144.947308,Installation of a shade sail at the existing child care centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181000
118 Errol Street NORTH MELBOURNE VIC 3051,-37.8022241,144.9502167,Construction and display of two business identification signs and an internally illuminated sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181010
116-118 Errol Street NORTH MELBOURNE VIC 3051,-37.8022241,144.9502167,Construction and display of two business identification signs and an internally illuminated sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=181010
83 Errol Street NORTH MELBOURNE VIC 3051,-37.803178,144.949296,To erect business identification signage and a promotional sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180594
26 Little Cobden Street NORTH MELBOURNE VIC 3051,-37.8042038,144.9571198,Demolition of outbuildings and construction of a dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180508
78 Molesworth Street NORTH MELBOURNE VIC 3051,-37.796807,144.947652,Painting of front facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180472
110-124 Laurens Street NORTH MELBOURNE VIC 3051,-37.802535,144.941952,"Use first floor for a place of worship, and partial waiver of the car parking requirement.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180377
632 Queensberry Street NORTH MELBOURNE VIC 3051,-37.802452,144.946467,Use of the first floor as a medical centre and reduction in the required car parking rate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180380
93 Chapman Street NORTH MELBOURNE VIC 3051,-37.795911,144.947379,"Partial demolition and construction of a crossover, driveway and paintwork to the front fence",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180248
33-35 Little Baillie Street NORTH MELBOURNE VIC 3051,-37.8011184,144.947411,4 LOT SUBDIVISION,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180157
106 Leveson Street NORTH MELBOURNE VIC 3051,-37.801645,144.951689,Partial demolition and first floor alterations and additions to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180085
8 Curran Street NORTH MELBOURNE VIC 3051,-37.792174,144.944453,"Demolition and replacement of existing front, side and rear fences",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=180028
94-96 Errol Street NORTH MELBOURNE VIC 3051,-37.8027116,144.9497812,Alterations to rear of building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=179925
15-19 Purcell Street NORTH MELBOURNE VIC 3051,-37.8023391,144.948826,Construction of a chimney,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=179920
